;director_name;actor_1_name;actor_2_name;actor_3_name;movie_title;imdb_score;title_year
390;John Milius;William Smith;Mako;Sandahl Bergman;Conan the Barbarian ;6.9;1982.0
422;Bob Fosse;Roy Scheider;Ben Vereen;Max Wright;All That Jazz ;7.8;1979.0
430;George A. Romero;Ted Danson;Hal Holbrook;Adrienne Barbeau;Creepshow ;6.9;1982.0
606;James Cameron;Michael Biehn;Todd Graff;Mary Elizabeth Mastrantonio;The Abyss ;7.6;1989.0
676;John Milius;Lea Thompson;Jennifer Grey;William Smith;Red Dawn ;6.4;1984.0
819;Peter MacDonald;Sylvester Stallone;Kurtwood Smith;Richard Crenna;Rambo III ;5.7;1988.0
840;Richard Donner;Marlon Brando;Margot Kidder;Ned Beatty;Superman ;7.3;1978.0
859;Andrey Konchalovskiy;Sylvester Stallone;Jack Palance;Brion James;Tango & Cash ;6.3;1989.0
890;Stanley Kubrick;James Mason;Shelley Winters;Lois Maxwell;Lolita ;7.7;1962.0
898;Richard Lester;Margot Kidder;Ned Beatty;Jackie Cooper;Superman II ;6.8;1980.0
1039;Steven Spielberg;Harrison Ford;Julian Glover;Alison Doody;Indiana Jones and the Last Crusade ;8.3;1989.0
1051;Francis Ford Coppola;Nicolas Cage;Bob Hoskins;Fred Gwynne;The Cotton Club ;6.5;1984.0
1060;Ted Kotcheff;Sylvester Stallone;Brian Dennehy;Chris Mulkey;First Blood ;7.7;1982.0
1061;Andrei Tarkovsky;Donatas Banionis;Anatoliy Solonitsyn;Natalya Bondarchuk;Solaris ;8.1;1972.0
1072;Terence Young;Laurence Olivier;Ben Gazzara;Jacqueline Bisset;Inchon ;2.7;1981.0
1099;Melville Shavelson;Lucille Ball;Tom Bosley;Tim Matheson;Yours, Mine and Ours ;7.2;1968.0
1112;David Lynch;Virginia Madsen;Jürgen Prochnow;José Ferrer;Dune ;6.6;1984.0
1141;George P. Cosmatos;Sylvester Stallone;Julia Nickson;Martin Kove;Rambo: First Blood Part II ;6.4;1985.0
1143;Norman Ferguson;Mel Blanc;Dickie Jones;Cliff Edwards;Pinocchio ;7.5;1940.0
1144;Michael Cimino;Jeff Bridges;Sam Waterston;Isabelle Huppert;Heaven's Gate ;6.8;1980.0
1160;Joseph L. Mankiewicz;Martin Landau;Richard Burton;Roddy McDowall;Cleopatra ;7.0;1963.0
1166;John Glen;Robert Davi;Talisa Soto;Anthony Zerbe;Licence to Kill ;6.6;1989.0
1184;John G. Avildsen;Martin Kove;William Zabka;William Bassett;The Karate Kid ;7.2;1984.0
1188;Robert Zemeckis;Lea Thompson;Jeffrey Weissman;Thomas F. Wilson;Back to the Future Part II ;7.8;1989.0
1237;John Glen;Joe Don Baker;Desmond Llewelyn;Art Malik;The Living Daylights ;6.7;1987.0
1239;Ivan Reitman;Brian Dennehy;Debra Winger;Roscoe Lee Browne;Legal Eagles ;5.9;1986.0
1281;Martin Scorsese;Robert De Niro;David Carradine;David Proval;Mean Streets ;7.4;1973.0
1294;Elaine May;Carol Kane;Warren Beatty;Isabelle Adjani;Ishtar ;4.2;1987.0
1308;Jerry Jameson;M. Emmet Walsh;Jason Robards;Anne Archer;Raise the Titanic ;4.7;1980.0
1336;Richard Lester;Margot Kidder;Robert Vaughn;Jackie Cooper;Superman III ;4.9;1983.0
1359;John Carpenter;Wilford Brimley;Richard Masur;David Clennon;The Thing ;8.2;1982.0
1384;Irvin Kershner;Bernie Casey;Klaus Maria Brandauer;Barbara Carrera;Never Say Never Again ;6.2;1983.0
1400;Tim Burton;Michael Gough;Jack Palance;William Hootkins;Batman ;7.6;1989.0
1409;Robert Wise;Leonard Nimoy;Nichelle Nichols;Walter Koenig;Star Trek: The Motion Picture ;6.4;1979.0
1420;Wes Craven;Johnny Depp;Lin Shaye;Amanda Wyss;A Nightmare on Elm Street ;7.5;1984.0
1438;Tobe Hooper;Heather O'Rourke;Zelda Rubinstein;Craig T. Nelson;Poltergeist ;7.4;1982.0
1446;Michael Ritchie;Tatum O'Neal;Vic Morrow;Joyce Van Patten;The Bad News Bears ;7.3;1976.0
1459;Mike Hodges;Brian Blessed;William Hootkins;Sam J. Jones;Flash Gordon ;6.4;1980.0
1482;Peter Yates;Liam Neeson;Alun Armstrong;Lysette Anthony;Krull ;6.0;1983.0
1504;Moustapha Akkad;Oliver Reed;Rod Steiger;John Gielgud;Lion of the Desert ;8.4;1980.0
1523;Warren Beatty;Paul Sorvino;Warren Beatty;M. Emmet Walsh;Reds ;7.5;1981.0
1536;Richard Marquand;Harrison Ford;Ian McDiarmid;Kenny Baker;Star Wars: Episode VI - Return of the Jedi ;8.4;1983.0
1543;Richard Donner;Bill Murray;Alfre Woodard;Robert Mitchum;Scrooged ;7.0;1988.0
1556;Steven Spielberg;Christopher Lee;John Belushi;Treat Williams;1941 ;5.9;1979.0
1571;Francis Ford Coppola;Harrison Ford;Marlon Brando;Robert Duvall;Apocalypse Now ;8.5;1979.0
1575;Sydney Pollack;Meryl Streep;Michael Gough;Michael Kitchen;Out of Africa ;7.2;1985.0
1577;Lewis Gilbert;Desmond Llewelyn;Lois Chiles;Lois Maxwell;Moonraker ;6.3;1979.0
1631;William Shatner;Leonard Nimoy;Nichelle Nichols;Walter Koenig;Star Trek V: The Final Frontier ;5.4;1989.0
1634;John Glen;Patrick Macnee;Alison Doody;Tanya Roberts;A View to a Kill ;6.3;1985.0
1640;Ridley Scott;Stephen Root;Ken Takakura;Kate Capshaw;Black Rain ;6.6;1989.0
1655;Martin Brest;Robert De Niro;Yaphet Kotto;Philip Baker Hall;Midnight Run ;7.6;1988.0
1656;Paul Michael Glaser;Yaphet Kotto;Maria Conchita Alonso;Richard Dawson;The Running Man ;6.6;1987.0
1657;Frank Oz;Bill Murray;Jim Belushi;Tisha Campbell-Martin;Little Shop of Horrors ;6.9;1986.0
1693;Willard Huyck;Lea Thompson;Jeffrey Jones;Jordan Prentice;Howard the Duck ;4.6;1986.0
1713;Edward Zwick;Denzel Washington;Morgan Freeman;Matthew Broderick;Glory ;7.9;1989.0
1714;Sergio Leone;Robert De Niro;Burt Young;Treat Williams;Once Upon a Time in America ;8.4;1984.0
1743;Richard Attenborough;Denzel Washington;Kevin McNally;Penelope Wilton;Cry Freedom ;7.5;1987.0
1749;Steven Spielberg;Harrison Ford;Amrish Puri;Kate Capshaw;Indiana Jones and the Temple of Doom ;7.6;1984.0
1754;John McTiernan;Alan Rickman;Bruce Willis;Reginald VelJohnson;Die Hard ;8.2;1988.0
1765;John Glen;Julian Glover;Topol;Desmond Llewelyn;For Your Eyes Only ;6.8;1981.0
1777;Ridley Scott;Harrison Ford;Sean Young;M. Emmet Walsh;Blade Runner ;8.2;1982.0
1795;John Glen;Louis Jourdan;Kabir Bedi;Steven Berkoff;Octopussy ;6.6;1983.0
1799;David Lean;Richard Wilson;Judy Davis;Art Malik;A Passage to India ;7.4;1984.0
1807;John Landis;John Belushi;Aretha Franklin;Ray Charles;The Blues Brothers ;7.9;1980.0
1813;Philip Kaufman;Dennis Quaid;Scott Glenn;Sam Shepard;The Right Stuff ;7.9;1983.0
1815;Wolfgang Petersen;Gerald McRaney;Barret Oliver;Alan Oppenheimer;The NeverEnding Story ;7.4;1984.0
1819;Walter Murch;Piper Laurie;Jean Marsh;Tim Rose;Return to Oz ;6.7;1985.0
1843;Richard Attenborough;Ryan O'Neal;Dirk Bogarde;Wolfgang Preiss;A Bridge Too Far ;7.4;1977.0
1851;Lawrence Kasdan;Scott Glenn;Todd Allen;Brad Leland;Silverado ;7.2;1985.0
1868;Barry Levinson;Tom Cruise;Valeria Golino;Beth Grant;Rain Man ;8.0;1988.0
1884;Brian De Palma;Robert De Niro;Billy Drago;Charles Martin Smith;The Untouchables ;7.9;1987.0
1894;Richard Donner;Lee Remick;Patrick Troughton;Billie Whitelaw;The Omen ;7.6;1976.0
1906;Brian De Palma;Al Pacino;F. Murray Abraham;Mary Elizabeth Mastrantonio;Scarface ;8.3;1983.0
1908;Bernardo Bertolucci;Cary-Hiroyuki Tagawa;Joan Chen;Victor Wong;The Last Emperor ;7.8;1987.0
1933;Richard Fleischer;Joseph Cotten;Richard Anderson;James Whitmore;Tora! Tora! Tora! ;7.5;1970.0
1956;James Bridges;Dianne Wiest;Phoebe Cates;Swoosie Kurtz;Bright Lights, Big City ;5.6;1988.0
1971;Tobe Hooper;Frank Finlay;Steve Railsback;Peter Firth;Lifeforce ;6.1;1985.0
1976;John Carpenter;Victor Wong;Kate Burton;Peter Kwong;Big Trouble in Little China ;7.3;1986.0
1990;John Guillermin;Tanya Roberts;Donovan Scott;Ted Wass;Sheena ;4.8;1984.0
2013;Sergey Bondarchuk;Rod Steiger;Dan O'Herlihy;Jack Hawkins;Waterloo ;7.3;1970.0
2016;Stephen Frears;Keanu Reeves;Peter Capaldi;Swoosie Kurtz;Dangerous Liaisons ;7.7;1988.0
2018;Leonard Nimoy;Leonard Nimoy;Nichelle Nichols;Walter Koenig;Star Trek IV: The Voyage Home ;7.3;1986.0
