"~id","~start_node_id","~end_node_id","~relationship_type","score","year","title"
"123","0","322","DIRECTED_BY","6.9","1982.0","Conan the Barbarian "
"124","1","323","DIRECTED_BY","7.8","1979.0","All That Jazz "
"125","2","324","DIRECTED_BY","6.9","1982.0","Creepshow "
"126","3","325","DIRECTED_BY","8.1","1984.0","The Terminator "
"127","4","322","DIRECTED_BY","6.4","1984.0","Red Dawn "
"128","5","326","DIRECTED_BY","5.7","1988.0","Rambo III "
"129","6","327","DIRECTED_BY","7.3","1978.0","Superman "
"130","5","328","DIRECTED_BY","6.3","1989.0","Tango & Cash "
"131","7","329","DIRECTED_BY","7.7","1962.0","Lolita "
"132","8","330","DIRECTED_BY","4.9","1983.0","Superman III "
"133","9","331","DIRECTED_BY","8.5","1981.0","Raiders of the Lost Ark "
"134","10","332","DIRECTED_BY","6.3","1986.0","Peggy Sue Got Married "
"135","5","333","DIRECTED_BY","7.7","1982.0","First Blood "
"136","11","334","DIRECTED_BY","8.1","1972.0","Solaris "
"137","12","335","DIRECTED_BY","2.7","1981.0","Inchon "
"138","13","336","DIRECTED_BY","7.2","1968.0","Yours, Mine and Ours "
"139","14","337","DIRECTED_BY","6.6","1984.0","Dune "
"140","5","338","DIRECTED_BY","6.4","1985.0","Rambo: First Blood Part II "
"141","15","339","DIRECTED_BY","7.5","1940.0","Pinocchio "
"142","16","340","DIRECTED_BY","6.8","1980.0","Heaven's Gate "
"143","17","341","DIRECTED_BY","7.0","1963.0","Cleopatra "
"144","18","342","DIRECTED_BY","6.6","1989.0","Licence to Kill "
"145","19","343","DIRECTED_BY","7.2","1984.0","The Karate Kid "
"146","4","344","DIRECTED_BY","8.5","1985.0","Back to the Future "
"147","20","342","DIRECTED_BY","6.7","1987.0","The Living Daylights "
"148","21","345","DIRECTED_BY","5.9","1986.0","Legal Eagles "
"149","22","346","DIRECTED_BY","8.3","1976.0","Taxi Driver "
"150","23","347","DIRECTED_BY","4.2","1987.0","Ishtar "
"151","24","348","DIRECTED_BY","4.7","1980.0","Raise the Titanic "
"152","25","349","DIRECTED_BY","8.2","1982.0","The Thing "
"153","26","350","DIRECTED_BY","6.2","1983.0","Never Say Never Again "
